Axe_X,Axe_Y,Name,Cluster
18.323507,37.04536,Clara Morgane (Actrice),Groupe 3
-23.85956,-34.390705,Clara Oswald (personnage de Doctor Who),Groupe 7
24.475164,-2.4360592,Claude FranÃ§ois,Groupe 0
8.566533,44.636692,ClÃ©ment Aycard (majorant),Groupe 3
31.991772,-10.109771,cleopatre,Groupe 5
-4.1758213,30.462854,Clint Eastwood,Groupe 8
22.055988,10.494855,Clovis (roi des francs saliens),Groupe 0
24.542414,2.635639,Coluche,Groupe 0
-2.7269206,-11.812178,Commando Clone ,Groupe 1
-24.46942,-10.225264,Corvo Attano ,Groupe 7
-0.4517089,-8.973944,Corvus ,Groupe 1
13.130133,-22.711449,Cranky Kong ,Groupe 1
-21.1968,-16.262589,Crash Bandicoot,Groupe 7
13.409168,13.367757,Cristiano Ronaldo ,Groupe 6
-0.9494961,-8.591262,Croutard ,Groupe 1
4.7165112,-9.588997,Cthulhu ,Groupe 1
-16.252653,-17.138218,Curly Brace,Groupe 7
-31.190798,-20.160769,Cyclope (personnage des X-Men),Groupe 7
5.4368634,43.180916,cyprien,Groupe 3
4.33312,45.439735,Cyprien Iov,Groupe 3
4.093559,4.570254,Cyril Dumoulin ,Groupe 1
10.132306,52.880054,Cyril Hanouna,Groupe 3
8.464929,40.537457,d,Groupe 3
-4.1972647,-20.438807,Daario Naharis ,Groupe 1
-43.98687,-18.549349,Daenerys Targaryen (Game of throne),Groupe 7
-28.384886,-30.981493,Daiki Aomine (personnage de manga),Groupe 7
2.8048086,22.804186,DalaÃ¯-lama,Groupe 8
21.801947,-2.5914192,Dalida (chanteuse franbÃ§aise),Groupe 0
5.4719987,18.537046,Damien Chazelle (rÃ©alisateur),Groupe 8
0.41379297,-8.876362,Damon Hill ,Groupe 1
4.1814165,16.59387,Damso (William Kalubi rappeur),Groupe 8
3.9849222,2.5939999,Daniel Bryan (catcheur wwe),Groupe 7
25.595188,31.732586,Daniel Narcisse,Groupe 8
27.483711,28.14413,Daniel Narcisse (Joueur de handball franÃ§ais),Groupe 8
-6.341285,22.697647,Daniel Radcliffe,Groupe 8
19.22675,39.50913,Danielle Quichaud,Groupe 3
7.1423626,45.359455,Daniil le Russe (youtubeur),Groupe 3
19.05965,35.211506,dany boon,Groupe 3
-1.7903521,-11.272708,Dark Krayt ,Groupe 1
-38.5212,-28.340801,Dark Vador,Groupe 9
39.646492,-5.531865,darwin,Groupe 5
-2.045561,25.426176,David Beckham,Groupe 8
25.964613,31.009007,David Belle (sportif acteur franÃ§ais),Groupe 8
40.004494,-1.2185864,David Bowie,Groupe 6
-3.6107411,14.661944,David Copperfield (Magicien),Groupe 8
24.896858,33.50731,David Douillet (judoka franÃ§ais),Groupe 8
-5.1266026,14.0154505,David Fincher (RÃ©alisateur),Groupe 8
-7.1160913,13.828682,David Gilmour,Groupe 8
10.673905,31.700333,David Guetta,Groupe 3
11.209257,34.61835,david halliday,Groupe 3
8.54396,51.099335,David Pujadas (prÃ©sentateur France 2),Groupe 3
25.44696,31.239376,DAVID SKRELA,Groupe 8
-2.086222,26.60265,David Tennant ,Groupe 6
7.0935545,44.618893,DavidLaFargePokÃ©mon (youtubeur),Groupe 3
-11.655956,26.941664,De niro (acteur),Groupe 8
-28.666897,-32.554054,Dean,Groupe 7
-15.317924,-33.681553,Dean (personnage de Supernatural),Groupe 7
-26.562876,-11.8371315,Deathstroke (Slade Wilson dans DC comics),Groupe 7
-1.3964032,-8.071297,Deliora ,Groupe 1
-19.95844,-25.557486,DÃ©tective Conan,Groupe 7
-1.0174247,-9.791667,Devin Weston ,Groupe 1
-29.590279,-2.2984245,DevINSA,Groupe 4
-17.650492,-34.432873,Dexter Morgan,Groupe 7
-1.5015296,-7.18202,Dialga ,Groupe 1
0.66411597,-8.030682,Diana Bishop ,Groupe 1
1.0790533,-8.909708,DianthÃ©a ,Groupe 1
25.914827,39.31097,Didier Deschamps,Groupe 6
6.7157865,18.406992,Didier Drogba (footballeur Ivoirien),Groupe 8
-14.866467,-8.001797,Dieu ,Groupe 9
3.6469393,35.694744,DieudonnÃ© (humoriste),Groupe 6
29.199661,26.525866,Dimitri Payet,Groupe 8
-14.919026,-2.7852898,Dingo (ami de mickey),Groupe 7
-41.242794,-17.235826,Dio Brando (JoJo Bizarre Adventure),Groupe 7
11.2356415,34.01664,Dj Snake (Dj),Groupe 3
35.0214,-7.578099,Dmitri MendeleÃ¯ev (chimiste russe),Groupe 5
-25.567766,-2.886205,Dobby (Personnage de Harry Potter),Groupe 7
-27.003193,-28.866087,Doc brown,Groupe 4
-23.412727,-34.59094,Docteur House (personnage),Groupe 7
-2.7018502,-8.515294,Docteur Kureha ,Groupe 1
6.819577,38.673626,domingo,Groupe 3
-2.0560896,-9.451786,Dominique Gros ,Groupe 1
7.4136243,52.61754,Dominique Strauss-Kahn (dit DSK homme politique),Groupe 3
-36.089844,-21.189837,Don  quichote,Groupe 7
