title,choice,id,parent_id,depth
Ton personnage est-il un footballeur ?,o,2282289,2282288,6
Ton personnage a-t-il un prénom hors du commun ?,n,2292130,2282288,6
Ton personnage porte-t-il des chaussures ?,p,2301971,2282288,6
Ton personnage porte-t-il des chaussures ?,o,2311813,2311812,6
Ton personnage est-il américain ?,n,2321654,2311812,6
Ton personnage porte-t-il des chaussures ?,p,2331495,2311812,6
Ton personnage a-t-il des cheveux ?,o,2341337,2341336,6
Ton personnage est-il américain ?,n,2351178,2341336,6
Ton personnage est-il un personnage de jeu vidéo ?,p,2361019,2341336,6
Ton personnage est-il policier ou détective ?,o,6,5,6
Ton personnage est-il une femme ?,n,8884,5,6
Ton personnage est-il portugais ?,p,18197,5,6
Ton personnage est-il devenu connu grâce à Internet ?,o,27268,27267,6
Ton personnage est-il devenu connu grâce à Internet ?,n,37109,27267,6
Ton personnage est-il devenu connu grâce à Internet ?,p,46869,27267,6
Ton personnage a-t-il été roi ?,o,56654,56653,6
Ton personnage est-il devenu connu grâce à Internet ?,n,66384,56653,6
Ton personnage est-il devenu connu grâce à Internet ?,p,76144,56653,6
Ton personnage a-t-il plus de 35 ans ?,o,85900,85899,6
Ton personnage a-t-il plus de 50 ans ?,n,94382,85899,6
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,p,102405,85899,6
Ton personnage est-il un garçon ?,o,112049,112048,6
Ton personnage est-il célèbre  ?,n,121854,112048,6
Ton personnage est-il célèbre  ?,p,131695,112048,6
Ton personnage est-il un garçon ?,o,141486,141485,6
Ton personnage est-il un footballeur ?,n,151327,141485,6
Ton personnage est-il un footballeur ?,p,161168,141485,6
Ton personnage a-t-il plus de 35 ans ?,o,171011,171010,6
Ton personnage est-il devenu connu grâce à Internet ?,n,180852,171010,6
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,p,190663,171010,6
Ton personnage est-il dans le domaine de la musique ?,o,200505,200504,6
Ton personnage est-il célèbre  ?,n,210346,200504,6
Ton personnage est-il dans le domaine de la musique ?,p,220187,200504,6
Ton personnage a-t-il un prénom hors du commun ?,o,230029,230028,6
Ton personnage est-il célèbre  ?,n,239870,230028,6
Ton personnage est-il dans le domaine de la musique ?,p,249711,230028,6
Ton personnage est-il décédé ?,o,259555,259554,6
Ton personnage est-il décédé ?,n,269009,259554,6
Ton personnage est-il décédé ?,p,276966,259554,6
Ton personnage est-il décédé ?,o,286442,286441,6
Ton personnage est-il décédé ?,n,295617,286441,6
Ton personnage est-il décédé ?,p,305107,286441,6
Ton personnage est-il décédé ?,o,314616,314615,6
Ton personnage est-il décédé ?,n,324430,314615,6
Ton personnage est-il décédé ?,p,334271,314615,6
Ton personnage est-il décédé ?,o,344114,344113,6
Ton personnage est-il japonais ?,n,352461,344113,6
Ton personnage est-il décédé ?,p,362275,344113,6
Ton personnage est-il décédé ?,o,372090,372089,6
Ton personnage est-il décédé ?,n,381931,372089,6
Ton personnage est-il décédé ?,p,391772,372089,6
Ton personnage a-t-il été roi ?,o,401614,401613,6
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,n,411182,401613,6
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,p,421023,401613,6
Ton personnage a-t-il un prénom hors du commun ?,o,430866,430865,6
Ton personnage a-t-il été roi ?,n,440374,430865,6
Ton personnage a-t-il été roi ?,p,450206,430865,6
Ton personnage a-t-il plus de 35 ans ?,o,460012,460011,6
Ton personnage est-il anglais ?,n,468899,460011,6
Ton personnage est-il anglais ?,p,478740,460011,6
Ton personnage est-il anglais ?,o,488582,488581,6
Ton personnage est-il anglais ?,n,498375,488581,6
Ton personnage est-il anglais ?,p,508216,488581,6
Ton personnage est-il devenu connu grâce à Internet ?,o,518060,518059,6
Ton personnage est-il devenu connu grâce à Internet ?,n,527217,518059,6
Ton personnage est-il devenu connu grâce à Internet ?,p,536884,518059,6
Ton personnage est-il anglais ?,o,546594,546593,6
Ton personnage est-il un écrivain ?,n,556051,546593,6
Ton personnage est-il un écrivain ?,p,565892,546593,6
Ton personnage est-il anglais ?,o,575734,575733,6
Ton personnage est-il un écrivain ?,n,585428,575733,6
Ton personnage est-il un écrivain ?,p,595269,575733,6
Ton personnage est-il un footballeur ?,o,605112,605111,6
Ton personnage est-il anglais ?,n,614953,605111,6
Ton personnage est-il un footballeur ?,p,624794,605111,6
Ton personnage a-t-il plus de 35 ans ?,o,634636,634635,6
Ton personnage est-il célèbre  ?,n,644477,634635,6
Ton personnage est-il un garçon ?,p,654318,634635,6
Ton personnage a-t-il plus de 35 ans ?,o,664160,664159,6
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,n,673866,664159,6
La célébrité de ton personnage est-elle en rapport avec le monde du football ?,p,683707,664159,6
Ton personnage est-il un footballeur ?,o,693550,693549,6
Ton personnage est-il un footballeur ?,n,703391,693549,6
Ton personnage est-il un footballeur ?,p,713232,693549,6
Ton personnage est-il américain ?,o,723074,723073,6
Ton personnage est-il acteur/actrice ?,n,732915,723073,6
Ton personnage est-il un homme (ou une femme) politique ?,p,742756,723073,6
Ton personnage est-il acteur/actrice ?,o,752598,752597,6
Ton personnage est-il dans le domaine de la musique ?,n,762439,752597,6
Ton personnage est-il dans le domaine de la musique ?,p,772280,752597,6
Ton personnage est-il méchant ? ,o,782125,782124,6
Ton personnage est-il méchant ? ,n,791966,782124,6
Ton personnage est-il un personnage de série télévisée ?,p,801807,782124,6
Ton personnage est-il méchant ? ,o,811649,811648,6
Ton personnage est-il masculin ?,n,821436,811648,6
Ton personnage est-il méchant ? ,p,831277,811648,6
Ton personnage est-il policier ou détective ?,o,841119,841118,6
Ton personnage est-il masculin ?,n,850258,841118,6
Ton personnage est-il masculin ?,p,860099,841118,6
Ton personnage a-t-il un prénom hors du commun ?,o,869942,869941,6
Ton personnage a-t-il des yeux ?,n,878601,869941,6
Ton personnage a-t-il des yeux ?,p,887740,869941,6
Ton personnage est-il masculin ?,o,897021,897020,6
Ton personnage possède-t-il des armes ?,n,906727,897020,6
Ton personnage possède-t-il des armes ?,p,916352,897020,6
Ton personnage est-il masculin ?,o,926194,926193,6
Ton personnage possède-t-il des armes ?,n,936035,926193,6
Ton personnage a-t-il des yeux ?,p,945786,926193,6
Ton personnage a-t-il la peau blanche ?,o,955563,955562,6
Ton personnage a-t-il des cheveux ?,n,965404,955562,6
Ton personnage est-il un personnage de série télévisée ?,p,975245,955562,6
Ton personnage a-t-il la peau blanche ?,o,985087,985086,6
Ton personnage a-t-il des cheveux ?,n,994901,985086,6
Ton personnage a-t-il des cheveux ?,p,1004742,985086,6
Ton personnage est-il masculin ?,o,1014584,1014583,6
