Blair Waldorf (série TV: Gossip Girl),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?
Blaise Pascal,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Blanche Neige ,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage est-il français ?
Blondin (le bon la brute et le truand),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?
Bob l'éponge (personnage de dessin animé),Oui Ton personnage a-t-il des cheveux ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage est-il décédé ?,Non Ton personnage est-il français ?,Oui Est-ce que ton personnage est un animal ?
Bob le Bricoleur,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Bob Lennon (vidéaste français),Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Bob Marley,Non Ton personnage est-il décédé ?,Oui Ton personnage est-il français ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il devenu connu grâce à Internet ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage a-t-il été roi ?,Oui La célébrité de ton personnage est-elle en rapport avec le monde du football ?,Oui Ton personnage est-il un tennisman ?,Oui Ton personnage est-il acteur/actrice ?
Boga (perso animalier de Star Wars),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?
Bonno (Chanteur de U2),Oui Ton personnage est-il décédé ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Non Ton personnage est-il anglais ?
Booba ,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Bouna Sarr,Oui Ton personnage est-il décédé ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 50 ans ?
Bowser (jeu vidéo Mario),Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? ,Non Ton personnage est-il un personnage de jeu vidéo ?,Non Ton personnage vit-il dans un monde imaginaire ?
Bowser Jr. (jeu vidéo Mario),Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Bowsette (hybride Peach & Bowser),Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Brad Pitt,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il américain ?,Non Ton personnage est-il acteur/actrice ?
Brice de Nice,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Brienne de Torth ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Brigitte Bardot,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Brigitte Macron,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Broly (manga dragon ball),Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Bruce Lee,Non Ton personnage est-il décédé ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?
Bruce Wayne (Batman),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Bruce Willis,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il américain ?
Bruno Senna ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Bulbizarre (pokemon),Non Ton personnage est-il un tueur ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il un personnage de série télévisée ?
C3PO ,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?
Caballero (rappeur),Oui Ton personnage est-il décédé ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il un tueur ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?
Caca (déesse romaine du foyer et du feu) ,Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?
Caca bouda ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Caïn (premier fils d'Adam et Eve),Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?
Cait Sith ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Caliméro ,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?
Cam Newton (joueur américain de football américain),Oui Ton personnage est-il décédé ?,Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il un tueur ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?
Camille Claudel,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Candy,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Capitaine Flam (personnage dessins animés),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?
Capitaine Haddock,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Captain America ,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage porte-t-il des chaussures ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage possède-t-il des armes ?,Non Ton personnage fait-il des combats ?,Non Ton personnage est-il décédé ?,Oui Est-ce que ton personnage est un animal ?
Carl ( personnage de The walking dead ),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?
Carl Lewis (athlète américain),Oui Ton personnage est-il décédé ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il un tueur ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 35 ans ?
Carl Sagan (scientifique américain),Non Ton personnage est-il décédé ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il américain ?
Carlos (Tirelipimpon),Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui As-tu un rapport familial avec ton personnage ?
Carlos Ghosn,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Caroline Aigle (pilote de chasse),Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Caroline Channing ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Carrie Fisher (Actrice de Leia),Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il décédé ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?
cars (personnage voiture dessin animé),Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?
Cartman ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? ,Non Ton personnage est-il un personnage de jeu vidéo ?
Cartman (Personnage de South park),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?
Casimir (personnage de vieux dessin animé),Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage est-il décédé ?,Non Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il plus de 35 ans ?
Casper,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage est-il un personnage de série télévisée ?
Casquette ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Castiel,Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il un personnage de série télévisée ?
