Abigail Marston ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Abraracourcix,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Oui Ton personnage a-t-il été roi ?
Actarus,Non Ton personnage porte-t-il des chaussures ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage est-il un personnage de jeu vidéo ?,Non Ton personnage possède-t-il des armes ?,Non Ton personnage fait-il des combats ?,Non Ton personnage est-il décédé ?,Non Ton personnage est-il français ?
Ada Lovelace (comtesse brittanique programmeuse),Non Ton personnage est-il décédé ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il acteur/actrice ?,Non Ton personnage est-il anglais ?
Adam Ondra,Oui Ton personnage est-il décédé ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il un tueur ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?
Adele,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?
Adémar Prothon (étudiant INSA),Non Ton personnage a-t-il été roi ?,Non Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il français ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il célèbre  ?,Oui Ton personnage est-il devenu connu grâce à Internet ?
Adibou,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage est-il décédé ?
Adolf Hitler,Oui Ton personnage est-il dans le domaine de la musique ?,Non Ton personnage est-il réel ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage porte-t-il des chaussures ?,Oui La célébrité de ton personnage est-elle en rapport avec le monde du football ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il acteur/actrice ?,Oui Ton personnage est-il français ?,Non Ton personnage est-il décédé ?,Oui Ton personnage possède-t-il un sabre laser ?,Non Ton personnage est-il méchant ? 
Aelita Stones ,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
