Axe_X,Axe_Y,Name,Cluster
19.043642,-17.564783,Boga (perso animalier de Star Wars),Groupe 1
-9.150021,32.13963,Bonno (Chanteur de U2),Groupe 2
-22.325272,25.277266,Booba ,Groupe 2
-5.7250395,32.600807,Boris johnson (homme politique anglais),Groupe 2
-0.3525262,21.137455,Bouna Sarr,Groupe 2
29.143728,-5.384613,Bowser (jeu vidéo Mario),Groupe 1
28.345942,-4.836977,Bowser Jr. (jeu vidéo Mario),Groupe 1
25.617458,-26.569212,Bowsette (hybride Peach & Bowser),Groupe 1
-24.837023,-5.6191716,Brad Pitt,Groupe 2
10.559095,-30.099401,Brice de Nice,Groupe 1
-2.5146284,-1.173767,Brienne de Torth ,Groupe 3
-30.732567,29.729046,Brigitte Bardot,Groupe 2
-30.657837,29.632814,Brigitte Macron,Groupe 2
19.234913,0.4961872,Broly (manga dragon ball),Groupe 1
16.351393,18.109343,Bruce Lee,Groupe 2
9.502303,-23.615585,Bruce Wayne (Batman),Groupe 1
-28.532434,-6.5066175,Bruce Willis,Groupe 2
-0.2740777,-11.920643,Bruno Senna ,Groupe 3
15.73611,-9.53381,Bulbizarre (pokemon),Groupe 1
23.984617,-13.387894,C3PO ,Groupe 1
-2.4340134,31.720789,Caballero (rappeur),Groupe 2
21.11949,-1.3419539,Caca (déesse romaine du foyer et du feu) ,Groupe 1
-10.93934,-25.314077,Caca bouda ,Groupe 3
18.47377,-3.2594361,Caïn (premier fils d'Adam et Eve),Groupe 1
-1.776672,-10.007926,Cait Sith ,Groupe 3
15.349961,-13.215583,Caliméro ,Groupe 1
-19.702324,5.349393,Cam Newton (joueur américain de football américain),Groupe 2
-8.425995,11.7393,Camille Claudel,Groupe 2
36.532257,-24.89034,Candy,Groupe 1
12.285776,-32.09434,Capitaine Flam (personnage dessins animés),Groupe 1
31.928972,-24.955284,Capitaine Haddock,Groupe 1
18.13996,-42.5007,Captain America ,Groupe 1
11.321124,-22.364023,Carl ( personnage de The walking dead ),Groupe 1
-15.889593,1.2916596,Carl Lewis (athlète américain),Groupe 2
3.1221106,-12.013637,Carl Pomerance (Number theorist),Groupe 3
11.117963,14.735413,Carl Sagan (scientifique américain),Groupe 2
-2.8007798,12.770917,Carlos (Tirelipimpon),Groupe 2
-34.75904,26.520025,Carlos Ghosn,Groupe 2
-8.481479,11.719421,Caroline Aigle (pilote de chasse),Groupe 2
1.2113845,-12.55973,Caroline Channing ,Groupe 3
12.045232,15.251316,Carrie Fisher (Actrice de Leia),Groupe 2
23.49621,-8.728483,cars (personnage voiture dessin animé),Groupe 1
0.86780864,4.312714,Cartman ,Groupe 3
37.66791,-23.693336,Cartman (Personnage de South park),Groupe 1
19.618685,-13.426309,Casimir (personnage de vieux dessin animé),Groupe 1
27.587538,-15.899355,Casper,Groupe 1
3.9960048,-11.005927,Casquette ,Groupe 3
32.158386,-37.158882,Castiel,Groupe 1
3.7679656,7.7514644,Catherine de Medicis,Groupe 2
-3.2350008,8.831714,Cauchy (scientifique),Groupe 2
2.3114147,-12.100796,Cédric Barbosa ,Groupe 3
4.8348722,-11.45934,Cédric Orléans ,Groupe 3
-37.27107,19.634104,Cédric Villani,Groupe 0
-2.643825,35.336597,Céline Dion,Groupe 0
-23.375097,38.73497,Céline Dumerc ,Groupe 2
18.308672,-5.239776,Celty Sturluson (Manga Durarara!!),Groupe 1
21.490862,-27.455217,Cendrillon ,Groupe 1
36.839718,-29.979097,Cercei Lannister,Groupe 1
25.267546,-18.662336,cet ordinateur,Groupe 1
36.206577,-23.580832,Chandler Bing (série tv friends),Groupe 1
25.705496,-31.809113,Chandra Nalaàr,Groupe 1
-20.05452,14.080783,Charlemagne,Groupe 0
-3.584907,15.149003,Charles aznavour,Groupe 2
-43.00148,23.908485,Charles Cornet (prof. INSA),Groupe 2
13.196531,22.30417,Charles Darwin,Groupe 2
-15.46037,16.963034,Charles de Gaulle ,Groupe 0
12.539561,18.558475,Charles Martel (Arrière grand père de Charlemagne),Groupe 2
-10.227411,7.5820355,Charles Maurras (intellectuel français),Groupe 2
19.962872,-6.5164065,Charles Montgomery (Monty) Burns ,Groupe 3
4.771871,7.4109573,Charles Spencer Chaplin,Groupe 2
9.728198,14.27867,Charlie Chaplin,Groupe 2
13.420485,23.32168,Charlotte Bronte (ecrivain anglaise),Groupe 2
-34.855003,35.1446,Charlotte Richard,Groupe 2
15.723336,16.463642,Che Guevara,Groupe 2
-12.8811655,-9.790995,Cheikh Ndoye,Groupe 2
14.563997,11.748207,Chester Bennington (chanteur Linkin Park),Groupe 2
-3.3889542,13.617703,chevalier de Saint-George (escrimeur et musicien français),Groupe 2
28.20042,-34.130783,Chewbacca,Groupe 1
-1.9713366,-11.694951,Chien ,Groupe 3
6.341351,-28.25135,Chiiro,Groupe 1
3.5781538,-13.369057,Chilla (rappeuse),Groupe 3
4.6191607,-12.004494,Chilled (Dragon Ball),Groupe 3
0.050410457,12.912313,Chopin,Groupe 2
-25.020258,36.212032,Christian Fazzino (pétanqueur),Groupe 2
-39.20676,30.24533,Christian Raymond (prof. INSA),Groupe 0
-30.267843,31.986988,Christian Taubira (femme politique),Groupe 2
-25.562544,22.521332,Christophe Maé,Groupe 2
-9.204658,23.49256,Christopher Froome (cycliste),Groupe 2
-4.163205,31.700926,Christopher Nolan (réalisateur britanno-américain),Groupe 2
16.641888,-42.96188,Chuck Bartowski ,Groupe 1
-30.561607,-4.4847035,Chuck Norris,Groupe 0
19.5398,-28.567444,Chun-Li (jeu vidéo Steet-Fighter),Groupe 1
-20.034052,-22.399822,Cicéron (consul Romain),Groupe 2
-0.5852834,-11.229117,Clara Alonso ,Groupe 3
-32.53595,30.04055,Clara Morgane (Actrice),Groupe 2
39.25099,-22.485348,Clara Oswald (personnage de Doctor Who),Groupe 1
0.13043576,13.452265,Claude François,Groupe 2
-40.32063,19.796022,Clément Aycard (majorant),Groupe 2
21.298235,15.717898,cleopatre,Groupe 2
-22.988943,12.0784235,Clint Eastwood,Groupe 2
-10.101398,16.49703,Clovis (roi des francs saliens),Groupe 2
-4.656142,9.352851,Coluche,Groupe 2
1.9390821,-11.211651,Commando Clone ,Groupe 3
18.928448,-24.859169,Corvo Attano ,Groupe 1
2.8585916,-12.567384,Corvus ,Groupe 3
-5.076164,-28.482588,Cranky Kong ,Groupe 3
18.514353,-36.319424,Crash Bandicoot,Groupe 1
28.820353,-6.0312376,Creeper ,Groupe 1
-0.49649805,24.096043,Cristiano Ronaldo ,Groupe 0
0.025794245,-11.156215,Croutard ,Groupe 3
0.29855344,-11.708997,Cthulhu ,Groupe 3
17.21488,-30.374779,Curly Brace,Groupe 1
25.00407,-33.321167,Cyclope (personnage des X-Men),Groupe 1
-42.920708,17.00874,cyprien,Groupe 2
-44.554516,17.696575,Cyprien Iov,Groupe 2
-8.711622,-1.1601435,Cyril Dumoulin ,Groupe 3
-38.76625,23.693155,Cyril Hanouna (Présentateur de Touche pas à mon Poste),Groupe 2
-39.825745,17.518879,d,Groupe 2
10.305903,-2.6292863,Daario Naharis ,Groupe 3
36.042217,-32.445717,Daenerys Targaryen (Game of throne),Groupe 1
36.509727,-26.695608,Daiki Aomine (personnage de manga),Groupe 1
-7.0812516,27.36534,Dalaï-lama,Groupe 2
-12.424957,-2.2716174,Dalida (chanteuse franbçaise),Groupe 2
