Axe_X,Axe_Y,Name,Cluster,Medoid
29.583506,-1.6879202,Catherine de Medicis,Groupe 4,0
24.822998,-9.78883,Cauchy (scientifique),Groupe 4,0
-5.7352815,9.574345,Cédric Barbosa ,Groupe 1,0
-1.0220078,11.6950245,Cédric Orléans ,Groupe 1,0
60.045,-14.464107,Cédric Villani,Groupe 3,0
14.427078,-25.022814,Céline Dion,Groupe 3,0
51.401936,5.2764006,Céline Dumerc ,Groupe 4,0
-17.909191,-4.575584,Celty Sturluson (Manga Durarara!!),Groupe 5,0
-40.765854,-11.029965,Cendrillon ,Groupe 5,0
-52.7409,2.9910922,Cercei Lannister,Groupe 5,0
-32.797318,7.4421144,cet ordinateur,Groupe 5,0
-52.041622,6.638101,Chandler Bing (série tv friends),Groupe 5,0
-45.29699,-1.3783933,Chandra Nalaàr,Groupe 5,0
21.18697,3.1755757,Charlemagne,Groupe 3,0
27.388235,-4.704795,Charles aznavour,Groupe 4,0
50.875343,-19.486975,Charles Cornet (prof. INSA),Groupe 4,0
28.985878,11.336118,Charles Darwin,Groupe 0,0
36.551834,-1.9987204,Charles de Gaulle ,Groupe 2,0
24.878798,13.269837,Charles Martel (Arrière grand père de Charlemagne),Groupe 0,0
29.88271,-14.103537,Charles Maurras (intellectuel français),Groupe 4,0
-17.507347,-8.659768,Charles Montgomery (Monty) Burns ,Groupe 1,0
20.460096,-3.7153137,Charles Spencer Chaplin,Groupe 0,0
19.606524,11.655989,Charlie Chaplin,Groupe 0,0
28.060719,10.310874,Charlotte Bronte (ecrivain anglaise),Groupe 0,0
49.933792,-7.7735624,Charlotte Richard,Groupe 4,0
24.03214,17.156284,Che Guevara,Groupe 0,0
-6.740799,-3.639308,Cheikh Ndoye,Groupe 0,0
19.964985,17.71353,Chester Bennington (chanteur Linkin Park),Groupe 0,0
26.81459,-5.1612124,chevalier de Saint-George (escrimeur et musicien français),Groupe 4,0
-43.00257,-4.6931605,Chewbacca,Groupe 5,0
-4.5410323,11.130143,Chien ,Groupe 1,0
-36.67023,11.054679,Chiiro,Groupe 5,0
-6.173578,11.09237,Chilled (Dragon Ball),Groupe 1,0
26.4899,-1.4145209,Chopin,Groupe 4,0
49.753864,3.2729604,Christian Fazzino (pétanqueur),Groupe 4,0
44.33381,-11.492041,Christian Raymond (prof. INSA),Groupe 3,0
47.285374,-4.16639,Christian Taubira (femme politique),Groupe 3,0
60.365685,-6.0483303,Christophe Maé,Groupe 4,0
0.35585526,-17.02527,Christopher Froome (cycliste),Groupe 0,0
9.439217,-21.846954,Christopher Nolan (réalisateur britanno-américain),Groupe 0,0
-49.82062,-17.381042,Chuck Bartowski ,Groupe 5,0
15.10981,-4.936639,Chuck Norris,Groupe 3,0
-39.25165,-11.952225,Chun-Li (jeu vidéo Steet-Fighter),Groupe 5,0
0.82417315,-2.5084615,Cicéron (consul Romain),Groupe 0,0
